"condit","disper","elytra","mass","chamber","eggnum","eggmass","nummates"
"1","1",5.22,4.85,22.35,56.27,67.7,2
"1","1",8.95,5.5,35.19,66.9,81.25,5
"1","1",5.54,5.32,19.86,59.45,75.61,2
"1","1",5.76,4.52,16.49,57.07,69.48,1
"1","1",5.95,6.34,20.07,65.67,85.8,1
"1","1",5.05,4.83,18.19,55.75,69.49,2
"2","0",8.63,6.61,29.95,88.11,115.13,4
"2","0",6.55,5.45,18.84,78.05,99.8,5
"2","0",7.32,6.04,25.81,81.87,105.28,3
"2","0",6.6,5.55,24.45,77.93,98.28,3
"2","0",8.29,4.99,33.75,78.89,99.33,2
"2","0",8.31,6.15,27.75,84.58,109.51,7
"2","0",8.12,5.86,26.69,82.71,105.1,2
"2","0",5.66,4.97,20.12,72.93,93.19,1
"2","0",6.88,4.61,26.49,73.89,93.62,4
"2","0",8.21,5.54,32.13,81.37,103.89,0
"2","0",8.58,7.88,21.24,92.61,122.78,4
"2","0",7.97,6.85,25.85,87.78,114.2,3
"2","0",5.66,4.82,19.53,71.6,93.13,4
"2","0",6.4,5.97,23.96,78.75,102.54,2
"2","0",8.97,7.9,25.94,94.77,124.97,1
"2","0",8.37,4.9,37.12,78.89,98.73,3
"2","0",8.91,5.97,24.95,84.94,107.99,1
"2","0",8.16,6.48,27.97,86.29,111.89,2
"2","0",6.44,5.49,32.72,76.81,98.43,4
"2","0",6.08,4.57,22.69,72.11,92.99,2
"2","0",5.92,6.47,19.86,80.39,105.74,3
"2","0",8.01,6.7,27.46,86.11,110.35,5
"2","0",7.51,4.37,24.96,72.49,88.59,1
"2","0",7.91,6.31,25.25,84.25,108.5,5
"2","0",5.04,3.86,17.3,67.17,84.13,0
"2","1",6.35,5.19,23.61,72.95,89.48,1
"2","1",7.93,5.87,23.86,78.98,99.82,4
"2","1",7.63,5.5,27.26,77.44,94.86,3
"2","1",8.18,6.13,26.14,80.54,100.89,3
"2","1",8.44,5.6,26.4,79.77,99.63,0
"2","1",7.17,5.6,24.96,76.2,96.54,5
"2","1",5.44,4.49,21.01,67.76,83.01,2
"2","1",5.58,5.61,21.41,72.58,91.03,3
"2","1",7.79,4.5,23.14,71.81,86.78,4
"2","1",7.75,6.52,31.02,82.48,103.92,4
"2","1",8.17,6.76,19.28,85.07,106.67,4
"2","1",5.62,6.69,24.15,78.78,100.32,1
"2","1",5.72,4.76,22.09,69.08,84.6,2
"2","1",6.03,4.25,25.67,68.48,81.67,0
"2","1",7.11,6.4,26.21,80.17,103.21,2
"2","1",6.23,4.93,19.64,70.72,88.34,4
"2","1",5.02,4.21,14.67,65.86,80.85,2
"2","1",8.61,5.93,25.75,81.4,99.53,3
"2","1",5.11,5.24,19.81,70.21,89.47,0
"2","1",8.19,8.11,28.58,90.92,118.14,3
"2","1",6.63,6.1,26.42,77.74,98.01,2
"2","1",5.26,4.51,15.31,67.62,82.98,6
"2","1",5.92,6.59,18.76,79.12,101.74,2
"2","1",7.5,6.58,25.7,81.05,101.9,1
"2","1",6.72,7.3,26.51,84.35,106.78,2
"3","0",7.68,4.81,26.81,95.99,119.31,1
"3","0",5.41,3.79,21.84,87.54,109.14,0
"3","0",5.4,6.53,23.52,100.41,128.31,3
"3","0",5.47,6.17,21.55,98.87,128.24,1
"3","0",5.38,4.95,20.25,92.12,114.54,0
"3","0",8.73,5.01,26.66,100.29,124.81,3
"3","0",7.01,2.92,26.31,84.86,102.91,2
"3","0",5.06,4.4,21.33,89.89,111.13,2
"3","0",7.23,6.29,30.96,103.25,130.88,1
"3","0",7.12,4.7,22.72,95.36,120.39,2
"3","0",8.67,5.26,26.31,99.79,124.23,3
"3","0",8.29,7.85,25.06,112.82,146.21,2
"3","0",5.81,4.25,19.9,90.63,111.04,2
"3","0",6.52,5.18,22.33,96.39,122.04,3
"3","0",7.26,5.96,25.92,101.55,129.05,2
"3","0",7.18,5.56,22.81,99.7,126.51,5
"3","0",6.12,6.11,24.87,100.72,126.9,0
"3","0",5.56,5.38,17.55,95.03,118.45,2
"3","0",5.97,4.46,21.82,91.79,114.96,3
"3","0",7.19,4.64,22.58,93.99,116.52,3
"3","0",8.5,7.23,30.68,110.31,142.41,2
"3","0",5.54,3.68,22.7,87.12,105.29,2
"3","0",5.57,3.89,23.12,87.68,108.7,2
"3","0",5.57,3.43,19.36,85.64,103.72,2
"3","0",6.09,2.58,20.72,81.78,99.73,0
"3","1",6.37,5.38,24.8,92.74,121.68,3
"3","1",8.73,7.71,34.5,109.64,145.52,6
"3","1",6.06,4.69,17.29,89.09,117.56,3
"3","1",6.2,5.28,28.51,92.77,122.45,1
"3","1",8.3,3.07,32.5,85.71,107.29,2
"3","1",8.47,5.95,30.67,100.67,130.27,5
"3","1",6.61,5.86,26.44,96.82,127.09,3
"3","1",5.73,5.11,18.6,90.14,117.64,4
"3","1",5.88,2.69,26.19,79.5,100.98,0
"3","1",7.44,6.5,20.44,101.73,134.52,2
"3","1",5.02,4.32,20.83,85.81,111.76,0
"3","1",8.2,5.46,25.46,98.02,126.08,6
"3","1",5.81,6.66,23.43,98.98,131.44,1
"3","1",7.74,6.19,29.3,99.55,130.91,0
"3","1",6.49,8.56,15.67,109.57,147.42,0
"3","1",6.38,6.12,22.24,97.37,127.73,2
"3","1",5.83,7.89,28.75,105.48,142.62,1
"3","1",7.27,4.73,25.23,92.3,119.51,3
"3","1",8.85,6.89,34.75,105.85,138.45,5
"3","1",8.04,3.79,20.69,89.31,115.59,2
"3","1",7.87,6.36,23.79,102.51,134.43,2
"3","1",8.69,7.29,30.4,108.11,143.07,6
"3","1",8.06,5.79,27.26,99.19,128.91,7
"3","1",6.23,5.62,27.94,94.79,124.63,3
"3","1",6,6.5,26.08,99.7,134.72,2
